2022-11-23 07:48:31 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-11-23 07:48:32 [main] INFO  c.t.ed.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2022-11-23 07:48:34 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=f5b883b6-b35c-3bbd-9004-59ea55a44f5d
2022-11-23 07:48:34 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-11-23 07:48:34 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-11-23 07:48:34 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-11-23 07:48:34 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2022-11-23 07:48:35 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-11-23 07:48:35 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2239 ms
2022-11-23 07:48:38 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2022-11-23 07:48:38 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-11-23 07:48:38 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-11-23 07:48:38 [main] INFO  c.t.ed.config.server.ConfigServer - Started ConfigServer in 7.999 seconds (JVM running for 9.081)
2022-11-23 07:48:38 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state LivenessState changed to CORRECT
2022-11-23 07:48:38 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
2022-11-23 07:48:48 [http-nio-8888-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-23 07:48:48 [http-nio-8888-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-11-23 07:48:48 [http-nio-8888-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 14 ms
2022-11-23 07:48:49 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/fx/4f4dpt8j2c97ftsfhc0k6gqw0000gn/T/config-repo-6744931447803321407/config-client-twitter_kafka.yml]' via location 'file:/var/folders/fx/4f4dpt8j2c97ftsfhc0k6gqw0000gn/T/config-repo-6744931447803321407/'
2022-11-23 07:48:49 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/fx/4f4dpt8j2c97ftsfhc0k6gqw0000gn/T/config-repo-6744931447803321407/config-client.yml]' via location 'file:/var/folders/fx/4f4dpt8j2c97ftsfhc0k6gqw0000gn/T/config-repo-6744931447803321407/'
2022-11-23 07:54:54 [http-nio-8888-exec-4] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/fx/4f4dpt8j2c97ftsfhc0k6gqw0000gn/T/config-repo-6744931447803321407/config-client-twitter_kafka.yml]' via location 'file:/var/folders/fx/4f4dpt8j2c97ftsfhc0k6gqw0000gn/T/config-repo-6744931447803321407/'
2022-11-23 07:54:54 [http-nio-8888-exec-4] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/fx/4f4dpt8j2c97ftsfhc0k6gqw0000gn/T/config-repo-6744931447803321407/config-client.yml]' via location 'file:/var/folders/fx/4f4dpt8j2c97ftsfhc0k6gqw0000gn/T/config-repo-6744931447803321407/'
